mean,sd,maxv,minv,median,skew,kurtosis,q1,q3,mode,iqr,,,,Sex,Age
-1.87E-05,0.288675134,0.499962505,-0.5,-1.87E-05,-8.57E-17,-1.200000003,-0.250009374,0.249971879,-0.5,0.499981252,,,,Male,18
-2.06E-05,0.288675134,0.499958871,-0.5,-2.06E-05,0,-1.200000004,-0.250010282,0.249969154,-0.5,0.499979436,,,,Male,18
-3.19E-18,0.288675135,0.499988792,-0.499988792,0,7.10E-17,-1.200000001,-0.249994396,0.249994396,-0.499988792,0.499988792,,,,Female,24
-1.13E-17,0.288675135,0.499987627,-0.499987627,0,1.11E-16,-1.200000001,-0.249993814,0.249993814,-0.499987627,0.499987627,,,,Female,23
-1.12E-05,0.288675135,0.499977599,-0.5,-1.12E-05,-2.25E-16,-1.200000001,-0.2500056,0.249983199,-0.5,0.499988799,,,,Male,24
2.14E-17,0.288675135,0.499994486,-0.499994486,0,-5.60E-17,-1.2,-0.249997243,0.249997243,-0.499994486,0.499994486,,,,Male,19
-7.60E-18,0.288675134,0.499985539,-0.499985539,0,-4.22E-17,-1.200000002,-0.249992769,0.249992769,-0.499985539,0.499985539,,,,Male,21
-1.95E-05,0.288675134,0.499961026,-0.5,-1.95E-05,-1.88E-16,-1.200000004,-0.250009744,0.249970769,-0.5,0.499980513,,,,Male,21
8.05E-18,0.288675134,0.499982293,-0.499982293,0,-4.05E-17,-1.200000003,-0.249991146,0.249991146,-0.499982293,0.499982293,,,,Male,21
-1.64E-18,0.288675134,0.49998515,-0.49998515,0,8.67E-18,-1.200000002,-0.249992575,0.249992575,-0.49998515,0.49998515,,,,Male,21
1.79E-17,0.288675134,0.499979773,-0.499979773,0,2.98E-17,-1.200000004,-0.249989886,0.249989886,-0.499979773,0.499979773,,,,Male,21
-1.35E-17,0.288675134,0.499986003,-0.499986003,0,-9.43E-18,-1.200000002,-0.249993001,0.249993001,-0.499986003,0.499986003,,,,Female,23
-1.07E-05,0.288675135,0.499978567,-0.5,-1.07E-05,-2.14E-16,-1.200000001,-0.250005358,0.249983926,-0.5,0.499989284,,,,Female,19
6.05E-18,0.288675134,0.499986686,-0.499986686,0,6.00E-17,-1.200000002,-0.249993343,0.249993343,-0.499986686,0.499986686,,,,Male,18
-1.18E-05,0.288675135,0.499976483,-0.5,-1.18E-05,-6.78E-17,-1.200000001,-0.250005879,0.249982362,-0.5,0.499988241,,,,Male,20
-4.13E-18,0.288675135,0.499988385,-0.499988385,0,-5.63E-17,-1.200000001,-0.249994193,0.249994193,-0.499988385,0.499988385,,,,Female,19
2.60E-18,0.288675134,0.499985063,-0.499985063,0,2.50E-17,-1.200000002,-0.249992531,0.249992531,-0.499985063,0.499985063,,,,Female,19
-1.16E-05,0.288675135,0.499976854,-0.5,-1.16E-05,-2.65E-17,-1.200000001,-0.250005787,0.24998264,-0.5,0.499988427,,,,Female,19
1.22E-17,0.288675134,0.499982184,-0.499982184,0,-1.55E-17,-1.200000003,-0.249991092,0.249991092,-0.499982184,0.499982184,,,,Female,19
-1.59E-05,0.288675134,0.499968177,-0.5,-1.59E-05,-2.96E-16,-1.200000002,-0.250007956,0.249976133,-0.5,0.499984089,,,,Female,19
6.12E-18,0.288675134,0.499979869,-0.499979869,0,-9.33E-17,-1.200000004,-0.249989934,0.249989934,-0.499979869,0.499979869,,,,Female,18
-1.95E-05,0.288675134,0.499960938,-0.5,-1.95E-05,-1.39E-16,-1.200000004,-0.250009766,0.249970703,-0.5,0.499980469,,,,Female,18
6.17E-18,0.288675134,0.499981923,-0.499981923,0,3.64E-17,-1.200000003,-0.249990961,0.249990961,-0.499981923,0.499981923,,,,Female,18
-2.08E-05,0.288675134,0.499958492,-0.5,-2.08E-05,1.10E-16,-1.200000004,-0.250010377,0.249968869,-0.5,0.499979246,,,,Female,18
-2.16E-05,0.288675134,0.499956897,-0.5,-2.16E-05,-5.09E-17,-1.200000004,-0.250010776,0.249967672,-0.5,0.499978448,,,,Female,18
-1.11E-05,0.288675135,0.499977776,-0.5,-1.11E-05,-3.13E-17,-1.200000001,-0.250005556,0.249983332,-0.5,0.499988888,,,,Female,22
-1.64E-05,0.288675134,0.499967232,-0.5,-1.64E-05,1.45E-17,-1.200000003,-0.250008192,0.249975424,-0.5,0.499983616,,,,Female,22
-1.06E-17,0.288675134,0.499985718,-0.499985718,0,-3.58E-17,-1.200000002,-0.249992859,0.249992859,-0.499985718,0.499985718,,,,Female,22
9.32E-18,0.288675134,0.499979512,-0.499979512,0,0,-1.200000004,-0.249989756,0.249989756,-0.499979512,0.499979512,,,,Female,22
-1.95E-05,0.288675134,0.499960974,-0.5,-1.95E-05,-3.27E-17,-1.200000004,-0.250009756,0.249970731,-0.5,0.499980487,,,,Female,22
-1.09E-05,0.288675135,0.499978137,-0.5,-1.09E-05,2.11E-16,-1.200000001,-0.250005466,0.249983603,-0.5,0.499989069,,,,Male,20
-7.64E-06,0.288675135,0.499984711,-0.5,-7.64E-06,-4.80E-18,-1.200000001,-0.250003822,0.249988533,-0.5,0.499992355,,,,Male,22
4.29E-18,0.288675135,0.499988377,-0.499988377,0,4.41E-17,-1.200000001,-0.249994189,0.249994189,-0.499988377,0.499988377,,,,Male,17
0,0.288675134,0.499979263,-0.499979263,0,-3.68E-17,-1.200000004,-0.249989631,0.249989631,-0.499979263,0.499979263,,,,Male,17
-1.66E-05,0.288675134,0.499966872,-0.5,-1.66E-05,1.71E-16,-1.200000003,-0.250008282,0.249975154,-0.5,0.499983436,,,,Male,17
-2.15E-05,0.288675134,0.499956923,-0.5,-2.15E-05,-1.02E-16,-1.200000004,-0.250010769,0.249967692,-0.5,0.499978461,,,,Male,17
-2.09E-05,0.288675134,0.499958295,-0.5,-2.09E-05,4.93E-17,-1.200000004,-0.250010426,0.249968721,-0.5,0.499979148,,,,Male,17
2.92E-18,0.288675134,0.499987165,-0.499987165,0,-8.06E-17,-1.200000002,-0.249993583,0.249993583,-0.499987165,0.499987165,,,,Male,24
-1.07E-05,0.288675135,0.499978572,-0.5,-1.07E-05,-1.26E-16,-1.200000001,-0.250005357,0.249983929,-0.5,0.499989286,,,,Male,19
-1.25E-05,0.288675135,0.499974972,-0.5,-1.25E-05,3.51E-17,-1.200000002,-0.250006257,0.249981229,-0.5,0.499987486,,,,Female,18
-1.08E-17,0.288675134,0.499984122,-0.499984122,0,2.34E-17,-1.200000002,-0.249992061,0.249992061,-0.499984122,0.499984122,,,,Female,18
-1.20E-05,0.288675135,0.499976087,-0.5,-1.20E-05,3.32E-16,-1.200000001,-0.250005978,0.249982065,-0.5,0.499988043,,,,Female,18
-4.85E-18,0.288675134,0.499985768,-0.499985768,0,-1.76E-17,-1.200000002,-0.249992884,0.249992884,-0.499985768,0.499985768,,,,Female,18
-3.70E-18,0.288675134,0.499983732,-0.499983732,0,-7.21E-18,-1.200000003,-0.249991866,0.249991866,-0.499983732,0.499983732,,,,Female,18
