mean,sd,maxv,minv,median,skew,kurtosis,q1,q3,mode,iqr,energy,rmse,zcr,tempo,meanmfcc,minmfcc,maxmfcc,chroma_freq,spectral_centroid,spectral_bandwidth,spectral_rolloff,Sex,Age_Class
-1.40E-05,0.288675134,0.499972009,-0.5,-1.40E-05,4.49E-17,-1.200000002,-0.250006998,0.249979007,-0.5,0.499986005,546.44617,0.12367488,3583,198.7680288,-6.187159,-424.05344,153.68384,0.36033493,2587.246054,2624.500521,5363.613281,Female,1
-1.26E-05,0.288675135,0.499974745,-0.5,-1.26E-05,-3.02E-16,-1.200000002,-0.250006314,0.249981059,-0.5,0.499987372,157.92012,0.063152865,3309,123.046875,-8.377271,-445.0582,170.87097,0.32389107,2386.773767,2616.204268,5050.2263,Female,1
-1.07E-05,0.288675135,0.499978536,-0.5,-1.07E-05,-2.77E-16,-1.200000001,-0.250005366,0.249983902,-0.5,0.499989268,9.969617,0.014628267,4415,112.3471467,-10.47412,-494.6968,106.971565,0.37896344,3183.068638,2931.982373,6339.516977,Female,0
1.20E-17,0.288675135,0.499988873,-0.499988873,0,-8.02E-17,-1.200000001,-0.249994436,0.249994436,-0.499988873,0.499988873,110.69485,0.049633093,2577,103.359375,-12.561712,-539.7472,186.67212,0.33391166,1830.042617,2188.278665,3594.943792,Female,1
-8.16E-06,0.288675135,0.49998367,-0.5,-8.16E-06,-4.53E-16,-1.200000001,-0.250004082,0.249987753,-0.5,0.499991835,149.52393,0.049413413,5001,129.1992188,-8.70037,-480.0177,162.37115,0.38051045,2154.673775,2423.305349,4422.112427,Female,1
-1.40E-05,0.288675134,0.499972098,-0.5,-1.40E-05,1.25E-16,-1.200000002,-0.250006975,0.249979074,-0.5,0.499986049,63.351177,0.042042967,3350,161.4990234,-8.914813,-497.40326,155.69019,0.34819672,2151.424421,2269.615471,4082.210057,Female,1
-1.01E-05,0.288675135,0.499979777,-0.5,-1.01E-05,-1.33E-16,-1.200000001,-0.250005056,0.249984833,-0.5,0.499989888,48.811005,0.03141843,6972,103.359375,-8.620626,-470.3783,137.8346,0.32969898,2904.235898,2528.655883,5442.2396,Female,1
-2.06E-18,0.288675134,0.499985525,-0.499985525,0,1.37E-17,-1.200000002,-0.249992763,0.249992763,-0.499985525,0.499985525,106.620834,0.055557285,4475,198.7680288,-7.3271427,-483.56815,165.56535,0.33039448,2473.352436,2212.971344,4676.82172,Female,1
-1.17E-17,0.288675134,0.499984968,-0.499984968,0,-8.42E-17,-1.200000002,-0.249992484,0.249992484,-0.499984968,0.499984968,112.26695,0.05809587,3291,117.4538352,-8.739221,-447.80298,172.75528,0.30131316,2438.407846,2374.290694,4709.808444,Female,1
-8.79E-18,0.288675135,0.499988954,-0.499988954,0,5.41E-17,-1.200000001,-0.249994477,0.249994477,-0.499988954,0.499988954,25.198147,0.023593558,1187,107.6660156,-9.989544,-552.7411,201.48752,0.4112221,1130.27388,1762.364326,2084.365673,Male,1
1.39E-17,0.288675135,0.499991871,-0.499991871,0,-4.91E-18,-1.200000001,-0.249995936,0.249995936,-0.499991871,0.499991871,1090.2919,0.133138,4071,117.4538352,-6.072829,-527.1184,185.13144,0.41826853,2144.62087,2318.036139,4569.221131,Male,0
-8.23E-06,0.288675135,0.499983534,-0.5,-8.23E-06,-1.68E-16,-1.200000001,-0.250004117,0.24998765,-0.5,0.499991767,127.11784,0.045751106,5101,123.046875,-8.964676,-462.42694,181.23172,0.4034323,2657.294644,2749.405178,5704.39884,Female,1
7.21E-18,0.288675135,0.499989437,-0.499989437,0,3.28E-17,-1.200000001,-0.249994718,0.249994718,-0.499989437,0.499989437,46.36515,0.0312978,5159,123.046875,-13.645885,-574.28723,181.51482,0.34910122,2183.461069,1917.139979,3887.900863,Female,0
-2.02E-05,0.288675134,0.499959544,-0.5,-2.02E-05,1.36E-16,-1.200000004,-0.250010114,0.249969658,-0.5,0.499979772,93.77443,0.061593596,1727,151.9990809,-10.770572,-409.3141,179.77722,0.27483204,1572.366194,1575.812757,2874.902344,Female,0
-1.31E-05,0.288675134,0.499973755,-0.5,-1.31E-05,1.18E-16,-1.200000002,-0.250006561,0.249980316,-0.5,0.499986877,27.508028,0.02686927,5129,112.3471467,-11.765146,-538.9442,143.43031,0.31731358,2814.199688,2396.978595,5110.69043,Female,0
-1.95E-05,0.288675134,0.499960998,-0.5,-1.95E-05,4.30E-17,-1.200000004,-0.25000975,0.249970749,-0.5,0.499980499,83.67445,0.057126474,5443,123.046875,-7.761605,-434.93936,192.47089,0.33156106,3433.904665,2284.464196,5740.498621,Female,0
2.11E-17,0.288675134,0.499981007,-0.499981007,0,-2.10E-17,-1.200000003,-0.249990503,0.249990503,-0.499981007,0.499981007,24.377378,0.030430514,2508,135.9991776,-10.873837,-468.03555,169.16806,0.3132491,2273.258898,2062.887782,4225.477013,Female,0
3.78E-18,0.288675134,0.49998524,-0.49998524,0,-2.99E-17,-1.200000002,-0.24999262,0.24999262,-0.49998524,0.49998524,61.569996,0.042632904,2125,135.9991776,-8.164305,-373.98782,150.72232,0.50712484,2800.373845,2763.551635,5838.229871,Male,0
-7.64E-06,0.288675135,0.499984711,-0.5,-7.64E-06,-4.80E-18,-1.200000001,-0.250003822,0.249988533,-0.5,0.499992355,5.3709803,0.009061873,6364,161.4990234,-10.606867,-523.26636,117.844955,0.4674643,3041.077787,2926.804909,6434.390259,Female,1
-1.06E-05,0.288675135,0.499978811,-0.5,-1.06E-05,1.12E-16,-1.200000001,-0.250005297,0.249984108,-0.5,0.499989405,482.934,0.10115806,2941,151.9990809,-8.945018,-523.99414,178.95833,0.30558804,1512.735287,1839.617999,3088.741179,Female,0
